Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,School_id,Distance_to_school,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Recreation_centre_id,Distance_to_Recreation_centre
41609.0,-37.734038,145.062451,141 Grandview Grove,ROSANNA,9548000.0,house,2014.0,4.0,2.0,1.0,4341.0,5.647,19936,1.036,32.86666666666667,0.0,hospital_090,1.856,BANYUL12834,5.086
35140.0,-37.71325684,145.0190735,51 Lane Crescent,RESERVOIR,3600000.0,house,2009.0,3.0,1.0,0.0,2110.0,3.086,20009,1.032,35.86666666666667,0.0,hospital_139,1.912,WHITTL9561,2.859
46366.0,-37.713974,145.1549072,1/25 Lilian Parade,ELTHAM,4615000.0,house,2008.0,3.0,1.0,2.0,4897.0,0.618,19987,0.626,49.1,0.0,hospital_075,4.43,NILLUM11046,0.74
56963.0,-37.823117,145.071556,1 Chaucer Crescent,CANTERBURY,27900000.0,house,2010.0,3.0,1.0,1.0,1596.0,10.026,19892,0.428,21.833333333333332,0.0,hospital_064,2.6,WHITEH10994,9.776
65208.0,-37.8112485,145.3147999,2/10 Orchard Street,KILSYTH,14960000.0,house,2011.0,3.0,2.0,2.0,1342.0,7.459,19877,2.957,49.833333333333336,0.0,hospital_164,5.222,MAROON11044,7.927
51906.0,-37.802343,145.18059,35 Florence Avenue,DONVALE,15520000.0,house,2016.0,3.0,1.0,0.0,4844.0,1.908,19900,2.06,34.714285714285715,0.0,hospital_070,1.431,MANNIN11010,1.3
54163.0,-37.815512,145.026448,17 Elgin Street,HAWTHORN,13900000.0,house,2014.0,3.0,1.0,0.0,7650.0,11.721,19905,0.769,14.058823529411764,0.0,hospital_086,0.58,BAYSID12334,11.185
54410.0,-37.815535,145.041913,310 Barkers Road,HAWTHORN,21440000.0,house,2015.0,4.0,2.0,0.0,7650.0,11.962,19904,0.817,15.75,0.0,hospital_064,0.947,BAYSID12334,11.559
67461.0,-37.767405,145.360986,412 Swansea Road,LILYDALE,4200000.0,house,2016.0,5.0,3.0,2.0,1747.0,11.796,19876,1.765,55.111111111111114,0.0,hospital_113,0.814,MANNIN10996,12.534
26813.0,-37.612376,144.934555,4 Lindfield Court,CRAIGIEBURN,4320000.0,house,2016.0,3.0,1.0,3.0,5546.0,6.432,20029,1.396,49.75,1.0,hospital_104,4.444,HUMECI11782,7.433
52624.0,-37.828441,144.989128,2 Melrose Street,CREMORNE,3090000.0,house,2013.0,2.0,1.0,0.0,78.0,8.586,22247,0.495,10.5,0.0,hospital_196,1.229,MARIBY8453,8.022
69765.0,-37.867607,145.091336,22 Catalina Avenue,ASHBURTON,18200000.0,house,2010.0,5.0,3.0,2.0,734.0,5.349,19839,0.759,31.857142857142858,1.0,hospital_098,0.693,MONASH11997,5.072
87902.0,-37.941306,145.00024,67 Beach Road,HAMPTON,12100000.0,house,2010.0,2.0,1.0,2.0,267.0,0.147,19949,0.386,37.714285714285715,1.0,hospital_036,0.33,BAYSID12331,0.388
53969.0,-37.817522,145.043737,1 Wright Street,HAWTHORN,13140000.0,house,2013.0,3.0,2.0,2.0,7650.0,11.786,19903,0.574,18.0625,0.0,hospital_064,1.062,GLENEI11212,11.35
84865.0,-37.881102,144.984135,31 Shelley Street,ELWOOD,11635000.0,house,2011.0,3.0,1.0,0.0,1134.0,4.361,19955,1.134,18.75,1.0,hospital_009,2.088,BAYSID12373,3.601
14552.0,-37.75339508,144.9040375,5 Lyon Street,ESSENDON,8371000.0,house,2009.0,4.0,2.0,2.0,1513.0,0.519,22253,1.109,19.0,0.0,hospital_184,1.238,MOONEE9396,0.318
44411.0,-37.716188,145.107573,17 Tonyl Court,GREENSBOROUGH,5005000.0,house,2012.0,3.0,1.0,2.0,4341.0,1.815,19986,1.232,45.1,0.0,hospital_075,1.24,BANYUL12822,1.763
15109.0,-37.73929214,144.9228516,22 Bournian Avenue,STRATHMORE,12560000.0,house,2008.0,3.0,2.0,1.0,1422.0,0.263,20035,0.619,29.818181818181817,0.0,hospital_184,1.6,MOONEE9400,0.628
96101.0,-37.904902,145.044819,660 North Road,ORMOND,6480000.0,house,2012.0,2.0,1.0,2.0,4687.0,2.826,19941,0.494,29.75,0.0,hospital_126,2.285,GLENEI11212,1.711
68864.0,-37.865266,145.030303,18 Soudan Street,MALVERN,3735000.0,house,2016.0,5.0,3.0,3.0,7650.0,6.349,19944,0.141,19.72222222222222,0.0,hospital_092,0.241,BAYSID12334,6.06
